순번,권역명,항목명,경보단계명,발령일시,발령농도,해제일시,해제농도
1,강화권역,PM10,주의보,2021-05-24 16:00,234,2021-05-25 7:00,85
2,강화권역,PM10,주의보,2021-05-08 23:00,110,2021-05-09 0:00,55
3,강화권역,PM10,경보,2021-05-07 14:00,528,2021-05-08 23:00,110
4,강화권역,PM10,주의보,2021-05-07 13:00,490,2021-05-07 14:00,528
5,강화권역,PM10,주의보,2021-04-16 16:00,263,2021-04-16 18:00,84
6,강화권역,PM10,주의보,2021-03-30 2:00,144,2021-03-30 4:00,85
7,강화권역,PM10,경보,2021-03-29 9:00,419,2021-03-30 2:00,144
8,강화권역,PM10,주의보,2021-03-29 4:00,259,2021-03-29 9:00,419
9,강화권역,PM10,주의보,2021-03-16 10:00,174,2021-03-16 16:00,99
10,강화권역,PM10,주의보,2021-01-13 22:00,178,2021-01-14 1:00,81
11,강화권역,PM2.5,주의보,2021-05-07 14:00,102,2021-05-08 15:00,29
12,강화권역,PM2.5,주의보,2021-03-29 21:00,82,2021-03-30 2:00,32
13,강화권역,PM2.5,주의보,2021-03-26 22:00,96,2021-03-27 15:00,27
14,강화권역,PM2.5,주의보,2021-03-10 18:00,77,2021-03-12 16:00,31
15,강화권역,PM2.5,주의보,2021-02-12 20:00,87,2021-02-15 6:00,34
16,동남부권역,PM10,주의보,2021-05-24 17:00,199,2021-05-25 8:00,92
17,동남부권역,PM10,주의보,2021-05-08 23:59,127,2021-05-09 1:00,80
18,동남부권역,PM10,경보,2021-05-07 14:00,620,2021-05-08 0:00,127
19,동남부권역,PM10,주의보,2021-05-07 13:00,497,2021-05-07 14:00,620
20,동남부권역,PM10,주의보,2021-04-16 17:00,225,2021-04-17 8:00,98
21,동남부권역,PM10,주의보,2021-03-30 11:00,149,2021-03-30 12:00,95
22,동남부권역,PM10,경보,2021-03-29 5:00,480,2021-03-30 11:00,149
23,동남부권역,PM10,주의보,2021-03-29 3:00,286,2021-03-29 5:00,480
24,동남부권역,PM10,주의보,2021-03-16 11:00,177,2021-03-16 18:00,93
25,동남부권역,PM10,주의보,2021-01-13 0:00,159,2021-01-14 2:00,91
26,동남부권역,PM2.5,주의보,2021-05-07 14:00,123,2021-05-08 0:00,25
27,동남부권역,PM2.5,주의보,2021-03-29 5:00,102,2021-03-30 12:00,28
28,동남부권역,PM2.5,주의보,2021-03-26 10:00,86,2021-03-27 12:00,29
29,동남부권역,PM2.5,주의보,2021-03-10 20:00,84,2021-03-12 16:00,34
30,동남부권역,PM2.5,주의보,2021-02-12 11:00,80,2021-02-15 7:00,26
31,서부권역,PM10,주의보,2021-05-24 17:00,205,2021-05-25 8:00,96
32,서부권역,PM10,주의보,2021-05-08 0:00,120,2021-05-09 1:00,65
33,서부권역,PM10,경보,2021-05-07 14:00,609,2021-05-08 0:00,120
34,서부권역,PM10,주의보,2021-05-07 13:00,486,2021-05-07 14:00,609
35,서부권역,PM10,주의보,2021-04-17 12:00,157,2021-04-17 15:00,97
36,서부권역,PM10,주의보,2021-04-16 17:00,207,2021-04-17 4:00,93
37,서부권역,PM10,주의보,2021-03-30 10:00,144,2021-03-30 12:00,83
38,서부권역,PM10,경보,2021-03-29 5:00,454,2021-03-30 10:00,144
39,서부권역,PM10,주의보,2021-03-29 3:00,293,2021-03-29 5:00,454
40,서부권역,PM10,주의보,2021-03-26 14:00,159,2021-03-27 3:00,97
41,서부권역,PM10,주의보,2021-03-16 11:00,187,2021-03-16 18:00,97
42,서부권역,PM10,주의보,2021-03-11 13:00,154,2021-03-11 17:00,89
43,서부권역,PM10,주의보,2021-01-13 0:00,166,2021-01-14 2:00,87
44,서부권역,PM2.5,주의보,2021-05-07 14:00,123,2021-05-08 0:00,26
